track,artist,album,popularity_score,track_id,track_uri,spotify_link,preview,album_image_large,album_image_small,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Roses - Imanbek Remix,SAINt JHN,Roses (Imanbek Remix),75,2Wo6QQD1KMDWeFkkjLqwx5,spotify:track:2Wo6QQD1KMDWeFkkjLqwx5,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5,https://p.scdn.co/mp3-preview/857ba479318b91a6ab733143b985fd5f60f74045?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e0269450869a3ffaf23bc3898bf,https://i.scdn.co/image/ab67616d0000485169450869a3ffaf23bc3898bf,0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962,176219,4
Intentions,Justin Bieber,Intentions,83,364dI1bYnvamSnBJ8JcNzN,spotify:track:364dI1bYnvamSnBJ8JcNzN,https://open.spotify.com/track/364dI1bYnvamSnBJ8JcNzN,https://p.scdn.co/mp3-preview/ad97489d94e9376d16f6ead155af5d65b96899ce?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e0208e30ab6a058429303d75876,https://i.scdn.co/image/ab67616d0000485108e30ab6a058429303d75876,0.811,0.553,9,-6.644,1,0.0552,0.317,0.0,0.105,0.86,148.014,212869,4
Celebration,Kool & The Gang,Celebrate!,69,3K7Q9PHUWPTaknlbFPThn2,spotify:track:3K7Q9PHUWPTaknlbFPThn2,https://open.spotify.com/track/3K7Q9PHUWPTaknlbFPThn2,https://p.scdn.co/mp3-preview/e8ed295d8e656820e452af0c14e988a0d4a93923?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02887b7c596249f628db6c6473,https://i.scdn.co/image/ab67616d00004851887b7c596249f628db6c6473,0.885,0.664,1,-11.795,1,0.0524,0.145,0.0483,0.0767,0.906,121.632,298867,4
Roses - Imanbek Remix,SAINt JHN,Roses (Imanbek Remix),37,7fPuWrlpwDcHm5aHCH5D9t,spotify:track:7fPuWrlpwDcHm5aHCH5D9t,https://open.spotify.com/track/7fPuWrlpwDcHm5aHCH5D9t,,https://i.scdn.co/image/ab67616d00001e022b6e2fb9f84af69f55dc6b77,https://i.scdn.co/image/ab67616d000048512b6e2fb9f84af69f55dc6b77,0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962,176219,4
Snitches & Rats (Interlude),21 Savage,SAVAGE MODE II,65,2y3mrzWEWaAFqb2jf5fED8,spotify:track:2y3mrzWEWaAFqb2jf5fED8,https://open.spotify.com/track/2y3mrzWEWaAFqb2jf5fED8,https://p.scdn.co/mp3-preview/209a8902aee4b7663f4a4265987a6a3ddf865c54?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02aa57907bf0cb2ca0c8cc74bc,https://i.scdn.co/image/ab67616d00004851aa57907bf0cb2ca0c8cc74bc,0.607,0.371,1,-14.255,0,0.894,0.742,0.000164,0.403,0.945,102.481,57074,3
Feeling Awake - Sammy Virji Remix,AC Slater,Hi8 Remixed,34,0u0HBXMUvNtxoepJFS8Xe7,spotify:track:0u0HBXMUvNtxoepJFS8Xe7,https://open.spotify.com/track/0u0HBXMUvNtxoepJFS8Xe7,https://p.scdn.co/mp3-preview/80caed16b1552db0317316df4d207bfb02795df8?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02b34aac52ba4930abdefdd170,https://i.scdn.co/image/ab67616d00004851b34aac52ba4930abdefdd170,0.906,0.769,9,-6.717,0,0.235,0.0216,0.391,0.0542,0.722,131.96,261000,4
Texas Sun,Khruangbin,Texas Sun,73,6Flu33CZc4xS2gkA6cRcNh,spotify:track:6Flu33CZc4xS2gkA6cRcNh,https://open.spotify.com/track/6Flu33CZc4xS2gkA6cRcNh,https://p.scdn.co/mp3-preview/c9c4f2b85477ecdf7ab297556795155399c3f55a?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e0214c07768d4acc4282a66a61b,https://i.scdn.co/image/ab67616d0000485114c07768d4acc4282a66a61b,0.635,0.631,7,-10.007,1,0.0343,0.0378,0.138,0.0997,0.619,111.563,252812,4
Trap - Rompasso Remix,SAINt JHN,Trap (Rompasso Remix),63,08pnZCD7bB3voKAA3ShGTw,spotify:track:08pnZCD7bB3voKAA3ShGTw,https://open.spotify.com/track/08pnZCD7bB3voKAA3ShGTw,https://p.scdn.co/mp3-preview/54ca89ae4dcc356b84fe438e09d4e94637ff06b1?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e0234ebb039491adeb0d1431b93,https://i.scdn.co/image/ab67616d0000485134ebb039491adeb0d1431b93,0.694,0.739,5,-5.457,1,0.185,0.0225,9.11e-06,0.507,0.222,128.049,168750,4
Drivin Thru the Night,Petit Biscuit,Drivin Thru the Night,60,0h4yWQq8wkQq0rhhA1Ik4F,spotify:track:0h4yWQq8wkQq0rhhA1Ik4F,https://open.spotify.com/track/0h4yWQq8wkQq0rhhA1Ik4F,https://p.scdn.co/mp3-preview/13251d381364968faaf967c8a8a8b5aedc8cccd4?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02980fac839fb295b6838408fa,https://i.scdn.co/image/ab67616d00004851980fac839fb295b6838408fa,0.546,0.587,9,-9.315,1,0.334,0.522,0.0467,0.0955,0.334,123.944,185336,4
Red Light Green Light,Duke Dumont,"Red Light Green Light (For Club Play Only, Pt. 6)",70,5D1zGVDJTOqwaGSzYw5TtP,spotify:track:5D1zGVDJTOqwaGSzYw5TtP,https://open.spotify.com/track/5D1zGVDJTOqwaGSzYw5TtP,https://p.scdn.co/mp3-preview/7e7fc5e5fac2ec9cb1a366ba479dae7cc68f36b0?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e0281fa4515eaccf7378440350a,https://i.scdn.co/image/ab67616d0000485181fa4515eaccf7378440350a,0.811,0.825,2,-5.48,1,0.0654,0.000646,0.517,0.0689,0.95,124.005,211209,4
Four Twenty,Malaa,Four Twenty,54,6br178iaXMQcXiNqB1OzBx,spotify:track:6br178iaXMQcXiNqB1OzBx,https://open.spotify.com/track/6br178iaXMQcXiNqB1OzBx,https://p.scdn.co/mp3-preview/d50eff54e4b6312b2159ef952e77e03a0e514c30?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e0220dd47d69040a6ef10c19cd9,https://i.scdn.co/image/ab67616d0000485120dd47d69040a6ef10c19cd9,0.89,0.681,0,-5.153,1,0.0793,0.00529,0.128,0.067,0.478,122.013,204590,4
September,"Earth, Wind & Fire","The Best Of Earth, Wind & Fire Vol. 1",81,2grjqo0Frpf2okIBiifQKs,spotify:track:2grjqo0Frpf2okIBiifQKs,https://open.spotify.com/track/2grjqo0Frpf2okIBiifQKs,https://p.scdn.co/mp3-preview/f2bf28e36e3ac155e99781e39af55b26282fb539?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e024dd033f4cf3a0a58059cde69,https://i.scdn.co/image/ab67616d000048514dd033f4cf3a0a58059cde69,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,215093,4
To The Top,AC Slater,Hi8,24,1VtKr2qCRuglTwrnmkNnY1,spotify:track:1VtKr2qCRuglTwrnmkNnY1,https://open.spotify.com/track/1VtKr2qCRuglTwrnmkNnY1,https://p.scdn.co/mp3-preview/8bbf1a93e459cfb79c84864ca4ae23cf3a102b03?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e029c3b06fcfcbec07f70532486,https://i.scdn.co/image/ab67616d000048519c3b06fcfcbec07f70532486,0.802,0.918,9,-7.106,1,0.0445,0.000255,0.848,0.0675,0.367,127.01,185000,4
Pump It Up - Extended Mix,Endor,Pump It Up,31,22p0GfE16ksLtRXtRWDPLB,spotify:track:22p0GfE16ksLtRXtRWDPLB,https://open.spotify.com/track/22p0GfE16ksLtRXtRWDPLB,https://p.scdn.co/mp3-preview/42e365667fc746119ca9c2f5d6a8aa7de586e084?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02e531450d406375e9ade82725,https://i.scdn.co/image/ab67616d00004851e531450d406375e9ade82725,0.975,0.729,1,-8.259,1,0.35,0.0313,0.00547,0.0394,0.561,129.004,368992,4
