track,artist,data_type,popularity_artist,popularity_song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mode,key,time_signature,release_date,alternative,baltic_slavic,bluegrass,blues,celtic,country,dance,disco,edm,electro,english,folk,germanic,hip hop,house,jam band,jazz,other,piano,pop,psychedelic,punk,r&b,rap,reggae,rock,romance,soul,south_american,swing,techno,trance
Drivin Thru the Night,Petit Biscuit,user_library,73,57.0,0.546,0.587,-9.315,0.334,0.522,0.0467,0.0955,0.334,123.944,1,9,4,2020-09-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Thank You,Dido,user_library,72,70.0,0.725,0.583,-9.942,0.0424,0.3,0.000215,0.0665,0.765,79.984,0,1,4,1999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Opaul,Freddie Dredd,user_library,73,65.0,0.815,0.884,-4.146,0.213,0.00555,0.498,0.0983,0.638,145.031,1,1,4,2018-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dragostea Din Tei,O-Zone,user_library,59,57.0,0.812,0.968,-3.758,0.0421,0.161,0.0,0.0661,0.706,130.093,1,0,4,2002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ORANGE SODA,Baby Keem,user_library,70,78.0,0.83,0.564,-7.822,0.235,0.177,0.0,0.128,0.107,85.042,1,1,4,2019-07-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Do My Dance,Tyga,user_library,86,55.0,0.838,0.618,-5.187,0.0805,0.00357,0.00166,0.132,0.746,153.95,1,9,4,2012-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
September,"Earth, Wind & Fire",user_library,76,80.0,0.697,0.832,-7.264,0.0298,0.168,0.00131,0.269,0.979,125.926,1,9,4,1978-11-23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Climbing a Wall,Floral,user_library,35,38.0,0.29,0.751,-5.853,0.0436,0.0177,0.286,0.089,0.678,151.097,1,11,1,2014-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
I'm God,Clams Casino,user_library,64,62.0,0.529,0.641,-6.78,0.0336,0.0711,0.76,0.102,0.089,141.927,1,2,4,2020-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,user_library,86,86.0,0.904,0.723,-5.224,0.26,0.0631,0.0,0.185,0.835,145.013,0,11,4,2020-06-24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
